"","","/表章事項","人口【人】","人口【人】","人口【人】"
"時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020年","（旧：松阪市）","","117,569","56,454","61,115"
"2020年","（旧：嬉野町）","","19,127","9,141","9,986"
"2020年","（旧：三雲町）","","15,107","7,273","7,834"
"2020年","（旧：飯南町）","","4,211","2,018","2,193"
"2020年","（旧：飯高町）","","3,131","1,474","1,657"
"2020年","桑名市","","138,613","68,084","70,529"
"2020年","（旧：桑名市）","","113,432","55,831","57,601"
"2020年","（旧：多度町）","","10,665","5,183","5,482"
"2020年","（旧：長島町）","","14,516","7,070","7,446"
"2020年","鈴鹿市","","195,670","97,350","98,320"
"2020年","名張市","","76,387","36,853","39,534"
"2020年","尾鷲市","","16,252","7,562","8,690"
"2020年","亀山市","","49,835","25,161","24,674"
"2020年","（旧：亀山市）","","43,469","21,952","21,517"
"2020年","（旧：関町）","","6,366","3,209","3,157"
"2020年","鳥羽市","","17,525","8,255","9,270"
"2020年","熊野市","","15,965","7,384","8,581"
"2020年","（旧：熊野市）","","14,945","6,920","8,025"
"2020年","（旧：紀和町）","","1,020","464","556"
"2020年","いなべ市","","44,973","23,106","21,867"
"2020年","（旧：北勢町）","","13,326","6,719","6,607"
"2020年","（旧：員弁町）","","9,513","5,097","4,416"
"2020年","（旧：大安町）","","16,417","8,524","7,893"
"2020年","（旧：藤原町）","","5,717","2,766","2,951"
"2020年","志摩市","","46,057","21,206","24,851"
"2020年","（旧：浜島町）","","3,718","1,726","1,992"
"2020年","（旧：大王町）","","5,562","2,447","3,115"
"2020年","（旧：志摩町）","","9,112","4,160","4,952"
"2020年","（旧：阿児町）","","20,812","9,675","11,137"
"2020年","（旧：磯部町）","","6,853","3,198","3,655"
"2020年","伊賀市","","88,766","43,446","45,320"
"2020年","（旧：上野市）","","57,189","28,296","28,893"
"2020年","（旧：伊賀町）","","9,436","4,624","4,812"
"2020年","（旧：島ヶ原村）","","1,994","928","1,066"
"2020年","（旧：阿山町）","","6,399","3,062","3,337"
"2020年","（旧：大山田村）","","4,718","2,240","2,478"
"2020年","（旧：青山町）","","9,030","4,296","4,734"
"2020年","木曽岬町","","6,023","3,032","2,991"
"2020年","東員町","","25,784","12,614","13,170"
"2020年","菰野町","","40,559","19,868","20,691"
"2020年","朝日町","","11,021","5,488","5,533"
"2020年","川越町","","15,123","7,798","7,325"
"2020年","多気町","","14,021","6,753","7,268"
"2020年","（旧：多気町）","","9,669","4,716","4,953"
"2020年","（旧：勢和村）","","4,352","2,037","2,315"
"2020年","明和町","","22,445","10,666","11,779"
"2020年","大台町","","8,668","4,103","4,565"
"2020年","（旧：大台町）","","5,939","2,831","3,108"
"2020年","（旧：宮川村）","","2,729","1,272","1,457"
"2020年","玉城町","","15,041","7,184","7,857"
"2020年","度会町","","7,847","3,798","4,049"
"2020年","大紀町","","7,815","3,652","4,163"
"2020年","（旧：大宮町）","","3,869","1,811","2,058"
"2020年","（旧：紀勢町）","","2,734","1,279","1,455"
"2020年","（旧：大内山村）","","1,212","562","650"
"2020年","南伊勢町","","10,989","5,095","5,894"
"2020年","（旧：南勢町）","","6,573","3,016","3,557"
"2020年","（旧：南島町）","","4,416","2,079","2,337"
"2020年","紀北町","","14,604","6,758","7,846"
"2020年","（旧：紀伊長島町）","","7,413","3,478","3,935"
"2020年","（旧：海山町）","","7,191","3,280","3,911"
"2020年","御浜町","","8,079","3,765","4,314"
"2020年","紀宝町","","10,321","4,767","5,554"
"2020年","（旧：紀宝町）","","6,560","3,033","3,527"
"2020年","（旧：鵜殿村）","","3,761","1,734","2,027"
"2020年","滋賀県","","1,413,610","697,429","716,181"
"2020年","大津市","","345,070","166,673","178,397"
"2020年","（旧：大津市）","","324,071","156,582","167,489"
"2020年","（旧：志賀町）","","20,999","10,091","10,908"
"2020年","彦根市","","113,647","56,492","57,155"
"2020年","長浜市","","113,636","55,406","58,230"
"2020年","（旧：長浜市）","","60,255","29,692","30,563"
"2020年","（旧：浅井町）","","12,237","5,937","6,300"
"2020年","（旧：虎姫町）","","4,628","2,237","2,391"
"2020年","（旧：湖北町）","","8,049","3,884","4,165"
"2020年","（旧：びわ町）","","6,398","3,035","3,363"
"2020年","（旧：高月町）","","9,227","4,529","4,698"
"2020年","（旧：木之本町）","","6,387","3,058","3,329"
"2020年","（旧：余呉町）","","2,790","1,307","1,483"
"2020年","（旧：西浅井町）","","3,665","1,727","1,938"
"2020年","近江八幡市","","81,122","39,676","41,446"
"2020年","（旧：近江八幡市）","","68,929","33,694","35,235"
"2020年","（旧：安土町）","","12,193","5,982","6,211"
"2020年","草津市","","143,913","72,646","71,267"
"2020年","守山市","","83,236","40,872","42,364"
"2020年","栗東市","","68,820","34,110","34,710"
"2020年","（旧：栗東町）","","68,820","34,110","34,710"
"2020年","甲賀市","","88,358","44,014","44,344"
"2020年","（旧：水口町）","","40,765","20,615","20,150"
"2020年","（旧：土山町）","","6,920","3,475","3,445"
"2020年","（旧：甲賀町）","","9,471","4,559","4,912"
"2020年","（旧：甲南町）","","20,293","9,933","10,360"
"2020年","（旧：信楽町）","","10,909","5,432","5,477"
"2020年","野洲市","","50,513","25,121","25,392"
"2020年","（旧：中主町）","","11,090","5,441","5,649"
"2020年","（旧：野洲町）","","39,423","19,680","19,743"
"2020年","湖南市","","54,460","28,168","26,292"
"2020年","（旧：石部町）","","11,833","5,940","5,893"
"2020年","（旧：甲西町）","","42,627","22,228","20,399"
"2020年","高島市","","46,377","22,762","23,615"
"2020年","（旧：マキノ町）","","5,230","2,515","2,715"
"2020年","（旧：今津町）","","11,379","5,824","5,555"
"2020年","（旧：朽木村）","","1,545","743","802"
"2020年","（旧：安曇川町）","","12,109","5,869","6,240"
"2020年","（旧：高島町）","","5,691","2,713","2,978"
"2020年","（旧：新旭町）","","10,423","5,098","5,325"
"2020年","東近江市","","112,819","56,296","56,523"
"2020年","（旧：八日市市）","","45,981","23,449","22,532"
"2020年","（旧：蒲生町）","","14,000","6,895","7,105"
"2020年","（旧：永源寺町）","","4,913","2,404","2,509"
"2020年","（旧：五個荘町）","","12,108","5,967","6,141"
"2020年","（旧：能登川町）","","22,978","11,336","11,642"
"2020年","（旧：愛東町）","","4,636","2,233","2,403"
"2020年","（旧：湖東町）","","8,203","4,012","4,191"
"2020年","米原市","","37,225","18,051","19,174"
"2020年","（旧：山東町）","","11,542","5,512","6,030"
"2020年","（旧：伊吹町）","","4,877","2,379","2,498"
"2020年","（旧：米原町）","","10,888","5,304","5,584"
"2020年","（旧：近江町）","","9,918","4,856","5,062"
"2020年","日野町","","20,964","10,555","10,409"
"2020年","竜王町","","11,789","6,192","5,597"
"2020年","愛荘町","","20,893","10,373","10,520"
"2020年","（旧：秦荘町）","","7,663","3,726","3,937"
"2020年","（旧：愛知川町）","","13,230","6,647","6,583"
"2020年","豊郷町","","7,132","3,458","3,674"
"2020年","甲良町","","6,362","3,060","3,302"
"2020年","多賀町","","7,274","3,504","3,770"
"2020年","京都府","","2,578,087","1,231,468","1,346,619"
"2020年","京都市","","1,463,723","692,279","771,444"
"2020年","（旧：京都市）","","1,459,227","690,115","769,112"
"2020年","京都市北区","","117,165","55,738","61,427"
"2020年","京都市上京区","","83,832","38,518","45,314"
"2020年","京都市左京区","","166,039","79,943","86,096"
"2020年","京都市中京区","","110,488","50,549","59,939"
"2020年","京都市東山区","","36,602","16,078","20,524"
"2020年","京都市下京区","","82,784","38,121","44,663"
"2020年","京都市南区","","101,970","50,617","51,353"
"2020年","京都市右京区","","202,047","94,873","107,174"
"2020年","（旧：京都市右京区）","","197,551","92,709","104,842"
"2020年","（旧：京北町）","","4,496","2,164","2,332"
"2020年","京都市伏見区","","277,858","133,097","144,761"
"2020年","京都市山科区","","135,101","63,532","71,569"
"2020年","京都市西京区","","149,837","71,213","78,624"
"2020年","福知山市","","77,306","38,504","38,802"
"2020年","（旧：福知山市）","","67,256","33,684","33,572"
"2020年","（旧：三和町）","","3,048","1,482","1,566"
"2020年","（旧：夜久野町）","","3,067","1,480","1,587"
"2020年","（旧：大江町）","","3,935","1,858","2,077"
"2020年","舞鶴市","","80,336","40,244","40,092"
"2020年","綾部市","","31,846","15,239","16,607"
"2020年","宇治市","","179,630","86,301","93,329"
"2020年","宮津市","","16,758","7,942","8,816"
"2020年","亀岡市","","86,174","41,654","44,520"
"2020年","城陽市","","74,607","35,864","38,743"
"2020年","向日市","","56,859","27,119","29,740"
"2020年","長岡京市","","80,608","38,793","41,815"
"2020年","八幡市","","70,433","34,030","36,403"
"2020年","京田辺市","","73,753","36,111","37,642"
"2020年","京丹後市","","50,860","24,357","26,503"
"2020年","（旧：峰山町）","","11,337","5,471","5,866"
"2020年","（旧：大宮町）","","9,575","4,605","4,970"
"2020年","（旧：網野町）","","11,778","5,648","6,130"
"2020年","（旧：丹後町）","","4,657","2,259","2,398"
"2020年","（旧：弥栄町）","","4,671","2,150","2,521"
"2020年","（旧：久美浜町）","","8,842","4,224","4,618"
"2020年","南丹市","","31,629","15,392","16,237"
"2020年","（旧：美山町）","","3,383","1,621","1,762"
"2020年","（旧：園部町）","","16,575","8,321","8,254"
"2020年","（旧：八木町）","","7,067","3,260","3,807"
"2020年","（旧：日吉町）","","4,604","2,190","2,414"
"2020年","木津川市","","77,907","37,295","40,612"
"2020年","（旧：山城町）","","7,958","3,787","4,171"
"2020年","（旧：木津町）","","57,253","27,493","29,760"
"2020年","（旧：加茂町）","","12,696","6,015","6,681"
"2020年","大山崎町","","15,953","7,710","8,243"
"2020年","久御山町","","15,250","7,432","7,818"
"2020年","井手町","","7,406","3,594","3,812"
"2020年","宇治田原町","","8,911","4,501","4,410"
"2020年","笠置町","","1,144","541","603"
"2020年","和束町","","3,478","1,617","1,861"
"2020年","精華町","","36,198","17,226","18,972"
"2020年","南山城村","","2,391","1,125","1,266"
"2020年","京丹波町","","12,907","6,113","6,794"
"2020年","（旧：丹波町）","","6,583","3,110","3,473"
"2020年","（旧：瑞穂町）","","3,714","1,785","1,929"
"2020年","（旧：和知町）","","2,610","1,218","1,392"
"2020年","伊根町","","1,928","946","982"
"2020年","与謝野町","","20,092","9,539","10,553"
"2020年","（旧：加悦町）","","5,932","2,791","3,141"
"2020年","（旧：岩滝町）","","5,319","2,483","2,836"
"2020年","（旧：野田川町）","","8,841","4,265","4,576"
"2020年","大阪府","","8,837,685","4,235,956","4,601,729"
"2020年","大阪市","","2,752,412","1,326,875","1,425,537"
"2020年","大阪市都島区","","107,904","51,763","56,141"
"2020年","大阪市福島区","","79,328","37,633","41,695"
"2020年","大阪市此花区","","65,251","31,610","33,641"
"2020年","大阪市西区","","105,862","49,586","56,276"
"2020年","大阪市港区","","80,948","39,498","41,450"
"2020年","大阪市大正区","","62,083","30,164","31,919"
"2020年","大阪市天王寺区","","82,148","37,988","44,160"
"2020年","大阪市浪速区","","75,504","38,393","37,111"
"2020年","大阪市西淀川区","","95,864","47,067","48,797"
"2020年","大阪市東淀川区","","177,120","86,660","90,460"
"2020年","大阪市東成区","","84,906","40,341","44,565"
"2020年","大阪市生野区","","127,309","60,309","67,000"
"2020年","大阪市旭区","","89,670","42,676","46,994"
"2020年","大阪市城東区","","169,043","80,220","88,823"
"2020年","大阪市阿倍野区","","110,995","51,160","59,835"
"2020年","大阪市住吉区","","153,056","71,193","81,863"
"2020年","大阪市東住吉区","","127,849","60,161","67,688"
"2020年","大阪市西成区","","106,111","61,300","44,811"
"2020年","大阪市淀川区","","183,444","91,327","92,117"
"2020年","大阪市鶴見区","","112,691","53,166","59,525"
"2020年","大阪市住之江区","","120,072","57,611","62,461"
"2020年","大阪市平野区","","192,152","90,568","101,584"
"2020年","大阪市北区","","139,376","67,805","71,571"
"2020年","大阪市中央区","","103,726","48,676","55,050"
"2020年","堺市","","826,161","393,961","432,200"
"2020年","（旧：堺市）","","788,557","375,853","412,704"
"2020年","（旧：美原町）","","37,604","18,108","19,496"
"2020年","堺市堺区","","148,682","73,620","75,062"
"2020年","堺市中区","","121,236","58,081","63,155"
"2020年","堺市東区","","85,043","40,398","44,645"
"2020年","堺市西区","","135,375","64,546","70,829"
"2020年","堺市南区","","138,464","64,156","74,308"
"2020年","堺市北区","","159,757","75,052","84,705"
"2020年","堺市美原区","","37,604","18,108","19,496"
"2020年","岸和田市","","190,658","90,424","100,234"
"2020年","豊中市","","401,558","188,931","212,627"
"2020年","池田市","","104,993","49,992","55,001"
"2020年","吹田市","","385,567","185,305","200,262"
"2020年","泉大津市","","74,412","35,224","39,188"
"2020年","高槻市","","352,698","168,081","184,617"
"2020年","貝塚市","","84,443","40,482","43,961"
"2020年","守口市","","143,096","69,204","73,892"
"2020年","枚方市","","397,289","188,191","209,098"
"2020年","茨木市","","287,730","138,658","149,072"
"2020年","八尾市","","264,642","125,858","138,784"
"2020年","泉佐野市","","100,131","47,828","52,303"
"2020年","富田林市","","108,699","50,919","57,780"
"2020年","寝屋川市","","229,733","110,807","118,926"
"2020年","河内長野市","","101,692","47,392","54,300"
"2020年","松原市","","117,641","56,535","61,106"
"2020年","大東市","","119,367","57,939","61,428"
"2020年","和泉市","","184,495","88,751","95,744"
"2020年","箕面市","","136,868","64,992","71,876"
"2020年","柏原市","","68,775","32,955","35,820"
"2020年","羽曳野市","","108,736","51,034","57,702"
"2020年","門真市","","119,764","58,772","60,992"
"2020年","摂津市","","87,456","43,166","44,290"
"2020年","高石市","","55,635","26,336","29,299"
"2020年","藤井寺市","","63,688","29,951","33,737"
"2020年","東大阪市","","493,940","240,288","253,652"
"2020年","泉南市","","60,102","28,718","31,384"
"2020年","四條畷市","","55,177","26,744","28,433"
"2020年","交野市","","75,033","35,805","39,228"
"2020年","大阪狭山市","","58,435","27,409","31,026"
"2020年","阪南市","","51,254","24,250","27,004"
"2020年","島本町","","30,927","14,604","16,323"
"2020年","豊能町","","18,279","8,676","9,603"
"2020年","能勢町","","9,079","4,361","4,718"
"2020年","忠岡町","","16,567","7,965","8,602"
"2020年","熊取町","","43,763","21,310","22,453"
"2020年","田尻町","","8,434","4,176","4,258"
"2020年","岬町","","14,741","6,816","7,925"
"2020年","太子町","","13,009","6,331","6,678"
"2020年","河南町","","15,697","7,621","8,076"
"2020年","千早赤阪村","","4,909","2,319","2,590"
"2020年","兵庫県","","5,465,002","2,599,756","2,865,246"
"2020年","神戸市","","1,525,152","716,452","808,700"
"2020年","神戸市東灘区","","213,562","99,420","114,142"
"2020年","神戸市灘区","","136,747","63,549","73,198"
"2020年","神戸市兵庫区","","109,144","52,901","56,243"
"2020年","神戸市長田区","","94,791","44,662","50,129"
"2020年","神戸市須磨区","","158,719","73,064","85,655"
"2020年","神戸市垂水区","","215,302","100,260","115,042"
"2020年","神戸市北区","","210,492","99,465","111,027"
"2020年","神戸市中央区","","147,518","68,236","79,282"
"2020年","神戸市西区","","238,877","114,895","123,982"
"2020年","姫路市","","530,495","256,616","273,879"
"2020年","（旧：姫路市）","","486,958","235,612","251,346"
"2020年","（旧：家島町）","","4,079","2,013","2,066"
"2020年","（旧：夢前町）","","16,796","8,148","8,648"
"2020年","（旧：香寺町）","","18,002","8,614","9,388"
"2020年","（旧：安富町）","","4,660","2,229","2,431"
"2020年","尼崎市","","459,593","222,293","237,300"
"2020年","明石市","","303,601","146,746","156,855"
"2020年","西宮市","","485,587","226,105","259,482"
"2020年","洲本市","","41,236","19,635","21,601"
"2020年","（旧：洲本市）","","32,634","15,520","17,114"
"2020年","（旧：五色町）","","8,602","4,115","4,487"
"2020年","芦屋市","","93,922","42,008","51,914"
"2020年","伊丹市","","198,138","95,630","102,508"
"2020年","相生市","","28,355","13,592","14,763"
"2020年","豊岡市","","77,489","37,303","40,186"
"2020年","（旧：豊岡市）","","41,827","20,310","21,517"
"2020年","（旧：城崎町）","","3,125","1,432","1,693"
"2020年","（旧：竹野町）","","4,115","1,955","2,160"
"2020年","（旧：日高町）","","15,517","7,420","8,097"
"2020年","（旧：出石町）","","9,160","4,398","4,762"
"2020年","（旧：但東町）","","3,745","1,788","1,957"
"2020年","加古川市","","260,878","127,473","133,405"
"2020年","赤穂市","","45,892","22,095","23,797"
"2020年","西脇市","","38,673","18,540","20,133"
"2020年","（旧：西脇市）","","32,373","15,520","16,853"
"2020年","（旧：黒田庄町）","","6,300","3,020","3,280"
"2020年","宝塚市","","226,432","103,655","122,777"
"2020年","三木市","","75,294","36,259","39,035"
"2020年","（旧：三木市）","","68,422","32,994","35,428"
"2020年","（旧：吉川町）","","6,872","3,265","3,607"
"2020年","高砂市","","87,722","42,379","45,343"
"2020年","川西市","","152,321","71,289","81,032"
"2020年","小野市","","47,562","23,232","24,330"
"2020年","三田市","","109,238","52,322","56,916"
"2020年","加西市","","42,700","21,077","21,623"
"2020年","丹波篠山市","","39,611","18,811","20,800"
"2020年","（旧：篠山市）","","39,611","18,811","20,800"
"2020年","養父市","","22,129","10,623","11,506"
"2020年","（旧：八鹿町）","","9,388","4,467","4,921"
"2020年","（旧：養父町）","","6,565","3,200","3,365"
"2020年","（旧：大屋町）","","3,104","1,472","1,632"
"2020年","（旧：関宮町）","","3,072","1,484","1,588"
"2020年","丹波市","","61,471","29,464","32,007"
"2020年","（旧：柏原町）","","9,731","4,676","5,055"
"2020年","（旧：氷上町）","","17,246","8,366","8,880"
"2020年","（旧：青垣町）","","5,446","2,595","2,851"
"2020年","（旧：春日町）","","10,448","5,003","5,445"
"2020年","（旧：山南町）","","10,429","4,947","5,482"
"2020年","（旧：市島町）","","8,171","3,877","4,294"
"2020年","南あわじ市","","44,137","21,114","23,023"
"2020年","（旧：緑町）","","5,495","2,576","2,919"
"2020年","（旧：西淡町）","","9,088","4,330","4,758"
"2020年","（旧：三原町）","","14,702","7,081","7,621"
"2020年","（旧：南淡町）","","14,852","7,127","7,725"
"2020年","朝来市","","28,989","13,893","15,096"
"2020年","（旧：生野町）","","3,450","1,670","1,780"
"2020年","（旧：和田山町）","","14,873","7,158","7,715"
"2020年","（旧：山東町）","","5,221","2,476","2,745"
"2020年","（旧：朝来町）","","5,445","2,589","2,856"
"2020年","淡路市","","41,967","19,872","22,095"
"2020年","（旧：津名町）","","14,280","6,764","7,516"
"2020年","（旧：淡路町）","","5,035","2,377","2,658"
"2020年","（旧：北淡町）","","7,163","3,374","3,789"
"2020年","（旧：一宮町）","","6,889","3,312","3,577"
"2020年","（旧：東浦町）","","8,600","4,045","4,555"
"2020年","宍粟市","","34,819","16,635","18,184"
"2020年","（旧：山崎町）","","21,877","10,447","11,430"
"2020年","（旧：一宮町）","","7,213","3,504","3,709"
"2020年","（旧：波賀町）","","3,237","1,520","1,717"
"2020年","（旧：千種町）","","2,492","1,164","1,328"
"2020年","加東市","","40,645","19,956","20,689"
"2020年","（旧：社町）","","20,517","10,002","10,515"
"2020年","（旧：滝野町）","","12,601","6,236","6,365"
"2020年","（旧：東条町）","","7,527","3,718","3,809"
"2020年","たつの市","","74,316","35,918","38,398"
"2020年","（旧：龍野市）","","39,048","18,972","20,076"
"2020年","（旧：新宮町）","","13,554","6,565","6,989"
"2020年","（旧：揖保川町）","","11,774","5,644","6,130"
"2020年","（旧：御津町）","","9,940","4,737","5,203"
"2020年","猪名川町","","29,680","13,975","15,705"
"2020年","多可町","","19,261","9,311","9,950"
"2020年","（旧：中町）","","9,059","4,381","4,678"
"2020年","（旧：加美町）","","5,530","2,688","2,842"
"2020年","（旧：八千代町）","","4,672","2,242","2,430"
"2020年","稲美町","","30,268","14,775","15,493"
"2020年","播磨町","","33,604","16,332","17,272"
"2020年","市川町","","11,231","5,482","5,749"
"2020年","福崎町","","19,377","9,461","9,916"
"2020年","神河町","","10,616","4,958","5,658"
"2020年","（旧：神崎町）","","6,615","3,082","3,533"
"2020年","（旧：大河内町）","","4,001","1,876","2,125"
"2020年","太子町","","33,477","16,253","17,224"
"2020年","上郡町","","13,879","6,717","7,162"
"2020年","佐用町","","15,863","7,567","8,296"
"2020年","（旧：佐用町）","","6,435","3,093","3,342"
"2020年","（旧：上月町）","","3,634","1,760","1,874"
"2020年","（旧：南光町）","","3,344","1,581","1,763"
"2020年","（旧：三日月町）","","2,450","1,133","1,317"
"2020年","香美町","","16,064","7,636","8,428"
"2020年","（旧：香住町）","","10,088","4,816","5,272"
"2020年","（旧：村岡町）","","4,266","2,030","2,236"
"2020年","（旧：美方町）","","1,710","790","920"
"2020年","新温泉町","","13,318","6,302","7,016"
"2020年","（旧：浜坂町）","","8,342","3,950","4,392"
"2020年","（旧：温泉町）","","4,976","2,352","2,624"
"2020年","奈良県","","1,324,473","623,926","700,547"
"2020年","奈良市","","354,630","164,846","189,784"
"2020年","（旧：奈良市）","","348,250","161,776","186,474"
"2020年","（旧：月ケ瀬村）","","1,286","599","687"
"2020年","（旧：都祁村）","","5,094","2,471","2,623"
"2020年","大和高田市","","61,744","28,981","32,763"
"2020年","大和郡山市","","83,285","39,249","44,036"
"2020年","天理市","","63,889","31,275","32,614"
"2020年","橿原市","","120,922","57,336","63,586"
"2020年","桜井市","","54,857","25,909","28,948"
"2020年","五條市","","27,927","13,180","14,747"
"2020年","（旧：五條市）","","25,629","12,068","13,561"
"2020年","（旧：西吉野村）","","2,108","1,009","1,099"
"2020年","（旧：大塔村）","","190","103","87"
"2020年","御所市","","24,096","11,122","12,974"
"2020年","生駒市","","116,675","55,107","61,568"
"2020年","香芝市","","78,113","36,925","41,188"
"2020年","葛城市","","36,832","17,526","19,306"
"2020年","（旧：新庄町）","","20,892","9,928","10,964"
"2020年","（旧：當麻町）","","15,940","7,598","8,342"
"2020年","宇陀市","","28,121","13,374","14,747"
"2020年","（旧：大宇陀町）","","5,823","2,749","3,074"
"2020年","（旧：菟田野町）","","3,276","1,582","1,694"
"2020年","（旧：榛原町）","","15,090","7,211","7,879"
"2020年","（旧：室生村）","","3,932","1,832","2,100"
"2020年","山添村","","3,226","1,543","1,683"
"2020年","平群町","","18,009","8,446","9,563"
"2020年","三郷町","","23,219","10,877","12,342"
"2020年","斑鳩町","","27,587","12,979","14,608"
"2020年","安堵町","","7,225","3,387","3,838"
"2020年","川西町","","8,167","3,944","4,223"
"2020年","三宅町","","6,439","3,049","3,390"
"2020年","田原本町","","31,177","14,870","16,307"
"2020年","曽爾村","","1,295","595","700"
"2020年","御杖村","","1,479","694","785"
"2020年","高取町","","6,729","3,139","3,590"
"2020年","明日香村","","5,179","2,439","2,740"
"2020年","上牧町","","21,714","10,117","11,597"
"2020年","王寺町","","24,043","11,375","12,668"
"2020年","広陵町","","33,810","16,045","17,765"
"2020年","河合町","","17,018","7,918","9,100"
"2020年","吉野町","","6,229","2,840","3,389"
"2020年","大淀町","","16,728","7,936","8,792"
"2020年","下市町","","5,037","2,356","2,681"
"2020年","黒滝村","","623","296","327"
"2020年","天川村","","1,176","567","609"
"2020年","野迫川村","","357","176","181"
"2020年","十津川村","","3,061","1,663","1,398"
"2020年","下北山村","","753","361","392"
"2020年","上北山村","","444","227","217"
"2020年","川上村","","1,156","554","602"
"2020年","東吉野村","","1,502","703","799"
"2020年","和歌山県","","922,584","435,051","487,533"
"2020年","和歌山市","","356,729","167,947","188,782"
"2020年","海南市","","48,369","22,548","25,821"
"2020年","（旧：海南市）","","37,863","17,624","20,239"
"2020年","（旧：下津町）","","10,506","4,924","5,582"
"2020年","橋本市","","60,818","28,621","32,197"
"2020年","（旧：橋本市）","","48,518","22,934","25,584"
"2020年","（旧：高野口町）","","12,300","5,687","6,613"
"2020年","有田市","","26,538","12,576","13,962"
"2020年","御坊市","","23,481","11,404","12,077"
"2020年","田辺市","","69,870","32,790","37,080"
"2020年","（旧：田辺市）","","59,873","28,030","31,843"
"2020年","（旧：龍神村）","","2,751","1,306","1,445"
"2020年","（旧：中辺路町）","","2,420","1,158","1,262"
"2020年","（旧：大塔村）","","2,378","1,152","1,226"
"2020年","（旧：本宮町）","","2,448","1,144","1,304"
"2020年","新宮市","","27,171","12,610","14,561"
"2020年","（旧：新宮市）","","26,044","12,061","13,983"
"2020年","（旧：熊野川町）","","1,127","549","578"
"2020年","紀の川市","","58,816","27,815","31,001"
"2020年","（旧：打田町）","","15,531","7,399","8,132"
"2020年","（旧：粉河町）","","11,723","5,470","6,253"
"2020年","（旧：那賀町）","","6,450","3,015","3,435"
"2020年","（旧：桃山町）","","6,591","3,091","3,500"
"2020年","（旧：貴志川町）","","18,521","8,840","9,681"
"2020年","岩出市","","53,967","25,969","27,998"
"2020年","（旧：岩出町）","","53,967","25,969","27,998"
"2020年","紀美野町","","8,256","3,796","4,460"
"2020年","（旧：野上町）","","5,795","2,663","3,132"
"2020年","（旧：美里町）","","2,461","1,133","1,328"
"2020年","かつらぎ町","","15,967","7,428","8,539"
"2020年","（旧：かつらぎ町）","","15,721","7,319","8,402"
"2020年","（旧：花園村）","","246","109","137"
"2020年","九度山町","","3,856","1,782","2,074"
"2020年","高野町","","2,970","1,499","1,471"
"2020年","湯浅町","","11,122","5,196","5,926"
"2020年","広川町","","6,781","3,195","3,586"
"2020年","有田川町","","25,258","11,953","13,305"
"2020年","（旧：吉備町）","","16,199","7,762","8,437"
"2020年","（旧：金屋町）","","6,530","3,033","3,497"
"2020年","（旧：清水町）","","2,529","1,158","1,371"
"2020年","美浜町","","6,867","3,217","3,650"
"2020年","日高町","","7,673","3,657","4,016"
"2020年","由良町","","5,364","2,685","2,679"
"2020年","印南町","","7,720","3,660","4,060"
"2020年","みなべ町","","11,818","5,608","6,210"
"2020年","（旧：南部川村）","","4,949","2,359","2,590"
"2020年","（旧：南部町）","","6,869","3,249","3,620"
"2020年","日高川町","","9,219","4,449","4,770"
"2020年","（旧：川辺町）","","6,145","2,996","3,149"
"2020年","（旧：中津村）","","1,723","827","896"
"2020年","（旧：美山村）","","1,351","626","725"
"2020年","白浜町","","20,262","9,440","10,822"
"2020年","（旧：白浜町）","","17,337","8,072","9,265"
"2020年","（旧：日置川町）","","2,925","1,368","1,557"
"2020年","上富田町","","15,236","7,246","7,990"
"2020年","すさみ町","","3,685","1,747","1,938"
"2020年","那智勝浦町","","14,137","6,531","7,606"
"2020年","太地町","","2,791","1,229","1,562"
"2020年","古座川町","","2,480","1,130","1,350"
"2020年","北山村","","404","183","221"
"2020年","串本町","","14,959","7,140","7,819"
"2020年","（旧：串本町）","","11,142","5,353","5,789"
"2020年","（旧：古座町）","","3,817","1,787","2,030"
"2020年","鳥取県","","553,407","264,432","288,975"
"2020年","鳥取市","","188,465","91,356","97,109"
"2020年","（旧：鳥取市）","","149,312","72,679","76,633"
"2020年","（旧：国府町）","","8,219","3,855","4,364"
"2020年","（旧：福部村）","","2,727","1,320","1,407"
"2020年","（旧：河原町）","","6,372","3,050","3,322"
"2020年","（旧：用瀬町）","","3,195","1,512","1,683"
"2020年","（旧：佐治村）","","1,624","778","846"
"2020年","（旧：気高町）","","8,037","3,858","4,179"
"2020年","（旧：鹿野町）","","3,618","1,740","1,878"
"2020年","（旧：青谷町）","","5,361","2,564","2,797"
"2020年","米子市","","147,317","69,740","77,577"
"2020年","（旧：米子市）","","137,760","65,210","72,550"
"2020年","（旧：淀江町）","","9,557","4,530","5,027"
"2020年","倉吉市","","46,485","21,840","24,645"
"2020年","（旧：倉吉市）","","43,309","20,318","22,991"
"2020年","（旧：関金町）","","3,176","1,522","1,654"
"2020年","境港市","","32,740","15,775","16,965"
"2020年","岩美町","","10,799","5,178","5,621"
"2020年","若桜町","","2,864","1,355","1,509"
"2020年","智頭町","","6,427","3,005","3,422"
"2020年","八頭町","","15,937","7,611","8,326"
"2020年","（旧：郡家町）","","8,967","4,251","4,716"
"2020年","（旧：船岡町）","","3,321","1,574","1,747"
"2020年","（旧：八東町）","","3,649","1,786","1,863"
"2020年","三朝町","","6,060","2,875","3,185"
