"","","/表章事項","人口【人】","人口【人】","人口【人】"
"時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020年","羽幌町","","6,548","3,163","3,385"
"2020年","初山別村","","1,080","518","562"
"2020年","遠別町","","2,520","1,222","1,298"
"2020年","天塩町","","2,950","1,478","1,472"
"2020年","猿払村","","2,611","1,285","1,326"
"2020年","浜頓別町","","3,448","1,675","1,773"
"2020年","中頓別町","","1,637","818","819"
"2020年","枝幸町","","7,565","3,600","3,965"
"2020年","（旧：枝幸町）","","6,067","2,884","3,183"
"2020年","（旧：歌登町）","","1,498","716","782"
"2020年","豊富町","","3,974","2,098","1,876"
"2020年","礼文町","","2,509","1,284","1,225"
"2020年","利尻町","","2,004","994","1,010"
"2020年","利尻富士町","","2,458","1,188","1,270"
"2020年","幌延町","","2,371","1,290","1,081"
"2020年","（旧：幌延町）","","2,371","1,290","1,081"
"2020年","美幌町","","18,697","9,063","9,634"
"2020年","津別町","","4,373","2,096","2,277"
"2020年","斜里町","","11,418","5,672","5,746"
"2020年","清里町","","3,883","1,882","2,001"
"2020年","小清水町","","4,623","2,207","2,416"
"2020年","訓子府町","","4,677","2,241","2,436"
"2020年","置戸町","","2,775","1,281","1,494"
"2020年","佐呂間町","","4,875","2,296","2,579"
"2020年","遠軽町","","19,241","9,337","9,904"
"2020年","（旧：生田原町）","","1,582","792","790"
"2020年","（旧：遠軽町）","","15,859","7,730","8,129"
"2020年","（旧：丸瀬布町）","","1,214","536","678"
"2020年","（旧：白滝村）","","586","279","307"
"2020年","湧別町","","8,270","3,947","4,323"
"2020年","（旧：上湧別町）","","4,467","2,079","2,388"
"2020年","（旧：湧別町）","","3,803","1,868","1,935"
"2020年","滝上町","","2,421","1,177","1,244"
"2020年","興部町","","3,628","1,768","1,860"
"2020年","西興部村","","1,053","520","533"
"2020年","雄武町","","4,199","1,999","2,200"
"2020年","大空町","","6,775","3,287","3,488"
"2020年","（旧：東藻琴村）","","2,124","1,011","1,113"
"2020年","（旧：女満別町）","","4,651","2,276","2,375"
"2020年","豊浦町","","3,821","1,781","2,040"
"2020年","壮瞥町","","2,743","1,285","1,458"
"2020年","白老町","","16,212","7,706","8,506"
"2020年","厚真町","","4,432","2,249","2,183"
"2020年","洞爺湖町","","8,442","3,909","4,533"
"2020年","（旧：虻田町）","","6,874","3,173","3,701"
"2020年","（旧：洞爺村）","","1,568","736","832"
"2020年","安平町","","7,340","3,632","3,708"
"2020年","（旧：早来町）","","4,358","2,192","2,166"
"2020年","（旧：追分町）","","2,982","1,440","1,542"
"2020年","むかわ町","","7,651","3,779","3,872"
"2020年","（旧：鵡川町）","","5,253","2,606","2,647"
"2020年","（旧：穂別町）","","2,398","1,173","1,225"
"2020年","日高町","","11,279","5,712","5,567"
"2020年","（旧：日高町）","","1,347","703","644"
"2020年","（旧：門別町）","","9,932","5,009","4,923"
"2020年","平取町","","4,776","2,395","2,381"
"2020年","新冠町","","5,309","2,603","2,706"
"2020年","浦河町","","12,074","5,975","6,099"
"2020年","様似町","","4,043","1,923","2,120"
"2020年","えりも町","","4,374","2,230","2,144"
"2020年","新ひだか町","","21,517","10,473","11,044"
"2020年","（旧：静内町）","","18,041","8,816","9,225"
"2020年","（旧：三石町）","","3,476","1,657","1,819"
"2020年","音更町","","43,576","20,630","22,946"
"2020年","士幌町","","5,848","2,891","2,957"
"2020年","上士幌町","","4,778","2,343","2,435"
"2020年","鹿追町","","5,266","2,572","2,694"
"2020年","新得町","","5,817","2,900","2,917"
"2020年","清水町","","9,094","4,478","4,616"
"2020年","芽室町","","18,048","8,612","9,436"
"2020年","中札内村","","3,884","1,880","2,004"
"2020年","更別村","","3,080","1,519","1,561"
"2020年","大樹町","","5,420","2,714","2,706"
